rally_id,video,action_frame,action_type,pipeline_pid,gt_pid,pipe_team,gt_team,h1_first_serve_wrong,h1_pipe_first_serve_team,h1_gt_first_serve_team,h2_team_a_count,h2_team_b_count,h3_chain_integrity,h3_first_serve_synthetic,h3_unknown_before
9e515aaf-66fc-4893-a434-73d58dc1edc7,kuku,353,set,1,3,A,B,False,A,,2,2,True,False,0
73501ab3-9e6f-4347-ad94-b487efacb5e1,kuku,498,dig,4,1,A,B,False,A,,2,2,True,True,0
73501ab3-9e6f-4347-ad94-b487efacb5e1,kuku,254,receive,3,2,A,B,False,A,,2,2,True,True,0
f3695225-5958-4c74-bdc9-d1ab5d1a3876,mimi,212,block,1,3,B,A,False,A,,2,2,True,True,0
483970c6-5152-4bab-9a39-b2f490f3102c,koko,285,attack,2,3,B,A,False,A,,2,2,True,True,0
77026e92-1322-4f44-8f0c-5566b6bcde52,keke,288,attack,1,3,A,B,False,B,,2,2,True,False,0
e5327806-ad8e-407f-af27-e7b10b3db5dc,meme,187,attack,4,1,A,B,False,A,,2,2,True,False,0
60640533-30a2-4924-8596-df5f9bb83562,kiki,433,set,3,2,B,A,False,A,,2,2,True,False,0
fb0a3ea4-9023-4a58-ba31-8b35cf3dd3cc,yeye,240,serve,2,4,B,A,False,B,,2,2,True,False,0
0c58108f-05d5-44b1-a23b-5a7a34b83cfd,koko,122,serve,4,2,A,B,False,A,,2,2,True,False,0
4ea1bfa2-8ecb-4e63-9128-ac8ff9edf0c6,pepe,116,serve,1,3,B,A,False,B,,2,2,True,False,0
f373c7c1-0577-4ae9-9e3d-eb787fcd7590,mumu,69,serve,2,3,A,B,False,A,,2,2,True,False,0
0bc00f94-b42e-4cf0-b6ae-c022c38b12de,kiki,235,receive,1,2,A,B,False,B,,2,2,True,False,0
0bc00f94-b42e-4cf0-b6ae-c022c38b12de,kiki,426,attack,1,2,A,B,False,B,,2,2,True,False,0
ea6059d2-5e7c-45f9-9e19-9968757062c3,kiki,548,set,2,3,A,B,False,B,,2,2,True,False,0
7f0f540a-aa6b-4c37-b2e6-eec3b7e74da7,wawa,198,serve,2,4,A,B,False,B,,2,2,True,False,0
e8dbd314-6ac1-423d-8c25-bd42cfcd2256,kuku,721,attack,1,3,A,B,False,B,,2,2,True,False,0
5b23ee5f-00aa-463a-a3dd-d7c49fa6fd39,caco,51,serve,1,3,A,B,False,A,,2,2,True,False,0
248aaf83-2c48-4570-887a-8144a7cfe3d7,toto,764,attack,1,4,A,B,False,,,2,2,False,False,0
c1052008-76ee-4164-a8fe-95535f305042,popo,190,attack,3,1,B,A,False,B,,2,2,True,False,0
7501a7b7-2221-480c-9b26-5daf7eee38d1,popo,84,serve,4,1,A,B,False,,,2,2,False,False,0
a43fb033-44fc-42bf-98d2-af34d5d6a9bb,pepe,252,attack,4,1,A,B,False,A,,2,2,True,True,0
7501a7b7-2221-480c-9b26-5daf7eee38d1,popo,120,receive,1,4,B,A,False,,,2,2,False,False,0
67b3e1ad-b994-4db9-8e2e-b41f53247f36,toto,172,block,2,4,B,A,False,A,,2,2,True,False,0
1d316b85-b7d9-44fe-a570-10cf8a40bf4f,toto,245,dig,1,4,A,B,False,,,2,2,False,False,0
83dea3ce-8ffe-4e90-9a7f-e315431bbb1d,toto,78,serve,3,1,A,B,False,,,2,2,False,False,0
861054de-846e-4977-9084-5400863b8e9c,kuku,782,dig,1,4,A,B,False,A,,2,2,True,False,0
861054de-846e-4977-9084-5400863b8e9c,kuku,873,set,2,3,A,B,False,A,,2,2,True,False,0
a11d3733-b1a4-4dc6-bf08-0b6ba27ff510,gaga,292,set,2,4,A,B,False,,,2,2,False,False,0
672858b4-4684-4b1c-ae48-f98a03a403a2,kuku,481,attack,1,3,A,B,False,A,,2,2,True,True,0
19089729-0162-47b7-94f0-b401231a3d44,gaga,89,serve,1,3,B,A,False,B,,2,2,True,False,0
9e03194b-e114-4f33-a31a-bdc711510024,gaga,235,set,3,1,A,B,False,A,,2,2,True,False,0
9e03194b-e114-4f33-a31a-bdc711510024,gaga,284,attack,4,2,A,B,False,A,,2,2,True,False,0
aeffed7c-7dc3-484b-81ae-1f9ee97fbec8,cici,236,attack,3,1,B,A,False,B,,2,2,True,False,0
0fc55658-f659-4f44-8335-a2db8772fe2c,kiki,489,set,4,2,A,B,False,A,,2,2,True,True,0
72c8229b-2993-4310-9b61-cd6162cc27fa,gigi,760,attack,1,4,B,A,False,B,,2,2,True,False,0
9dbe457a-af4c-463f-9a8d-eeb115384599,yeye,443,attack,1,4,B,A,False,B,,2,2,True,True,0
3c8c1e44-1cd3-441a-8a70-2f7735c56e0f,yeye,440,dig,3,1,B,A,False,B,,2,2,True,True,0
3c8c1e44-1cd3-441a-8a70-2f7735c56e0f,yeye,623,attack,4,1,B,A,False,B,,2,2,True,True,0
3262960a-89fb-4f3d-8f0d-fb933ecee6de,yeye,276,attack,4,2,B,A,False,,,2,2,False,False,0
7b5a6973-a009-496e-8a35-f03be7253a50,veve,292,attack,4,2,A,B,False,B,,2,2,True,False,0
6ed4d6fc-0246-45f8-a054-d1416558586b,pepe,346,dig,1,4,A,B,False,A,,2,2,True,True,0
72c8229b-2993-4310-9b61-cd6162cc27fa,gigi,435,dig,4,1,A,B,False,B,,2,2,True,False,0
4c0f4c83-28e2-48a6-a0db-45a2970f54ed,yeye,277,set,3,1,A,B,False,A,,2,2,True,True,0
1e159b7e-d176-46ea-885f-4a3337fef9d3,haha,417,attack,1,4,A,B,False,B,,2,2,True,False,0
1e159b7e-d176-46ea-885f-4a3337fef9d3,haha,417,block,1,4,A,B,False,B,,2,2,True,False,0
4e96fa50-0c00-44bc-b68d-5444637c5f18,haha,735,attack,3,2,B,A,False,B,,2,2,True,False,0
