video    rally      gt_serve_f    dc@4    dc@6    dc@8   max_nonserve@6
titi     ce7b8505           40    15.6    15.6    15.6            155.0
titi     43b849ec           46     2.0     2.0     2.0             63.6
titi     414cff1b           36     0.0     0.0     0.0            179.6
vovo     38d9e796           99     1.4     1.4     1.4            175.7
vovo     e4a5349e          104     0.0     0.0     0.0              0.0
vovo     c039ef17          201     0.0     0.0     0.0              0.0
cici     ef07c839           85     5.5     5.5     5.5            178.3
cici     b4747e0d           89     8.1     8.1     8.1            169.2
cici     17b080fa          123     0.0     0.0     0.0            175.5
cici     aeffed7c          109   165.2   165.2   165.2            135.5
cici     34430b2e          139    53.0    53.0    53.0            157.4
cici     4f4e0a0a          120    23.6    23.6    23.6            156.9
lulu     14d9a87b          199   174.6   174.6   174.6            177.6
lulu     69df24f0          205     0.0     0.0     0.0            118.7
lulu     8da4f0dc          149     7.8     7.8     7.8            174.2
lulu     2adb9d80          241     0.0     0.0     0.0            175.5
lulu     69117837          174     3.2     3.2     3.2            179.7
lulu     55565c2b          175   175.8   175.8   175.8            179.9
mimi     b5d6f2e9           39     9.0     9.0     9.0            176.5
mimi     bbb22a1a           79     8.2     8.2     8.2            180.0
rara     c99fdd78          128     5.7     5.7     5.7            170.2
rara     8941e6e4           93    30.1    30.1    30.1            179.0
rara     1cf3ad14           54     0.0     0.0     0.0            179.0
rara     d36a8281          118     0.0     0.0     0.0              1.9
meme     ea02a014           77     1.6     1.6     1.6            179.0
meme     49582c29           43     4.4     4.4     4.4            178.5
meme     65c54107           77    10.1    10.1    10.1            180.0
meme     e5327806           49     7.4     7.4     7.4            107.2
meme     6bc59398           88    32.5    32.5    32.5            179.5
meme     d6dfef25           59   154.4   154.4   154.4            179.3
meme     11723e2b           93    14.4    14.4    14.4            168.4
matahtach cf33c17d           64     0.0     0.0     0.0            146.0
wiwi     5b486730          181     4.5     4.5     4.5            179.6
wiwi     8f008df7          186    12.2    12.2    12.2            174.6
wiwi     682130d2          241     3.6     3.6     3.6            179.8
wuwu     37e14e1e          158     6.1     6.1     6.1            179.7
wuwu     99a01ce4          161    41.1    41.1    41.1            179.1
wawa     06c13117          182     0.0     0.0     0.0              0.0
cucu     70e5834b           83    24.5    24.5    24.5            179.7
cucu     7d5fbfb2           98     0.0     0.0     0.0              0.0
cucu     24d00889           86     0.0     0.0     0.0              0.0
cucu     7265f3ea           88     0.0     0.0     0.0              0.0
cucu     7063ea7b           92     0.0     0.0     0.0              0.0
cucu     9e3ff9fe          119     0.0     0.0     0.0              0.0
toto     e5a1da4f           77   144.9   144.9   144.9            175.7
toto     66921886           74    23.6    23.6    23.6            173.3
roro     e35ccb8f          147    34.7    34.7    34.7            174.0
roro     75886ef9          158     0.1     0.1     0.1            178.2
roro     1a6e05d5          146    33.0    33.0    33.0            169.9
roro     c9fb06b6           70    19.1    19.1    19.1            163.9
papa     89c53e08           85     3.4     3.4     3.4            169.5
mama     87ce7bff           34   176.0   176.0   176.0            151.4
mama     696e302a           64    35.7    35.7    35.7            165.2
mama     7c7f0ba3           85     0.0     0.0     0.0            118.2
mechi    c56d4b01           55   167.1   167.1   167.1            178.5
match    e3348468           62     6.9     6.9     6.9            177.6
mochi    5d35c3bf           86    13.5    13.5    13.5            140.2
mochi    ac39ca88           64    19.9    19.9    19.9            177.8
mochi    39139435           75    62.0    62.0    62.0            174.3
mochi    89ac798c           86   111.5   111.5   111.5            179.9
mochi    7d9fde90           84   139.7   139.7   139.7            175.6
cuco     f127f3d5           85    12.8    12.8    12.8            178.3
cuco     d2995693          121    11.0    11.0    11.0            178.5
cuco     106e295e           85    47.9    47.9    47.9            170.8
vivi     0e6d2151          108     8.7     8.7     8.7            166.8
vava     9db9cb6b           61     1.6     1.6     1.6            179.3
vava     5f32d512           66     5.9     5.9     5.9            179.9
vava     6560f8a3           40   105.2   105.2   105.2             40.4
vava     64896fac           62    21.7    21.7    21.7            177.2
mumu     4c993a75           61   175.1   175.1   175.1            168.2
mumu     9c1c438b           56    29.1    29.1    29.1            178.5
mumu     f373c7c1           66     8.2     8.2     8.2            165.0
mumu     e7020bac           50   160.6   160.6   160.6            173.4
riri     9d443de0          109   159.6   159.6   159.6            177.5
riri     bc15bf77          129    86.5    86.5    86.5              0.0
riri     53ca3586          111     0.8     0.8     0.8             39.0
riri     8de78319          103   159.3   159.3   159.3            153.8
mech     3391198d           57     0.0     0.0     0.0            129.1
mech     b9b93b87           48   169.0   169.0   169.0            176.3
mech     0a95a5e8           57   153.3   153.3   153.3            161.1
macho    5e2e58fb           43     7.6     7.6     7.6            125.4
macho    c094b07f           40     4.5     4.5     4.5            179.3
--------------------------------------------------------------------------------
Serve direction-change @ window=6: min=0.0  median=12.3  max=179.2  n=194
Max non-serve dc in window @ window=6: min=0.0  median=175.5  max=180.0  n=194
Proposed BURST_THRESHOLD: 2.0 deg
